职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
Web前端开发工程师,1-2万/月,上海-杨浦区,南京恩泰克信息科技有限公司,民营公司,50-150人,计算机软件,08-15
React前端工程师,1.5-2万/月,上海-静安区,上海广亿信息技术有限公司,民营公司,50-150人,计算机软件,08-15
前端开发工程师,0.9-1.1万/月,武汉-武昌区,中诚信征信有限公司,民营公司,50-150人,互联网/电子商务,08-15
前端开发工程师,0.7-1.2万/月,南京-江宁区,南京派维电气有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
前端开发工程师,0.7-1万/月,深圳-宝安区,深圳市五众数字信息有限公司,民营公司,50-150人,计算机软件,08-15
前端开发工程师,7-9千/月,天津-西青区,天津市栋天信息技术有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,15-20万/年,宁波-高新区,北京汇博嘉讯科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,0.8-1.5万/月,无锡-无锡新区,无锡云鹊科技有限公司,民营公司,少于50人,计算机软件,08-15
高级Web前端工程师,1-1.5万/月,杭州-萧山区,杭州德慧信息技术有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,6-8千/月,唐山,唐山成联电子商务有限公司,民营公司,150-500人,互联网/电子商务,08-15
002前端开发工程师,1-1.5万/月,杭州,浙达电力科技（杭州）有限公司,民营公司,,互联网/电子商务,08-15
前端开发工程师,0.8-1万/月,杭州,西湖欧米（杭州）生物科技有限公司,民营公司,,互联网/电子商务,08-15
前端开发工程师,0.8-1.2万/月,深圳,深圳泰首智能技术有限公司,民营公司,,计算机软件,08-15
高级前端开发工程师,1.5-3万/月,深圳,深圳市星宫数据科技有限公司,民营公司,,计算机服务(系统、数据服务、维修),08-15
前端工程师,6-7千/月,沈阳,辽宁便利电科技有限公司,民营公司,,通信/电信/网络设备,08-15
SYH305-前端开发工程师,1-2万/月,南京,长园深瑞继保自动化有限公司,民营公司,,电子技术/半导体/集成电路,08-15
数字IC前端设计/验证工程师,2-3万/月,深圳,深圳市傲科光电子有限公司,合资,,电子技术/半导体/集成电路,08-15
前端工程师（南通）（江苏省）,0.8-1万/月,江苏省,南通智能感知研究院,国企,,政府/公共事业,08-15
