职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
中西餐廚師,0.6-1万/月,上海-徐汇区,上海燊席餐饮管理有限公司长宁分公司,民营公司,50-150人,餐饮业,08-15
食堂厨师,3.5-6千/月,郴州,郴州中合农产品市场有限责任公司,国企,50-150人,房地产,08-15
厨师,3-4千/月,成都-郫都区,成都市润康油脂有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
厨师,3.9-4.1千/月,广州,广州市禾绿回转寿司饮食有限公司,民营公司,,餐饮业,08-15
食堂厨师,4.5-6千/月,阜阳,颍泉区#安徽富煌建筑工业有限公司,民营公司,,建筑/建材/工程,08-15
厨师,4.5-6千/月,杭州,杭州大房利餐饮有限公司,民营公司,,计算机硬件,08-15
厨师,4.5-6千/月,上海,金安国纪科技股份有限公司,民营公司,,建筑/建材/工程,08-15
常州三院食堂厨师,6-8千/月,常州-天宁区,江苏高正健康产业集团有限公司,民营公司,5000-10000人,物业管理/商业中心,08-15
厨师,4.5-6千/月,咸阳,冀东发展泾阳建材有限责任公司,国企,50-150人,建筑/建材/工程,08-15
急招大锅菜厨师包食宿,6-8千/月,上海-闵行区,上海粤珍小厨餐饮管理股份有限公司,民营公司,1000-5000人,餐饮业,08-15
东山雅斯三楼美食城招聘厨师,4.5-6千/月,宜昌,湖北雅斯连锁商业有限公司,民营公司,1000-5000人,批发/零售,08-15
湘菜厨师长,1-1.5万/月,广州-天河区,广州旺客餐饮管理有限公司,民营公司,150-500人,餐饮业,08-15
食堂厨师,4-4.2千/月,萍乡,中铁国材绝缘材料有限公司,国企,50-150人,电气/电力/水利,08-15
饭堂厨师,3-4.5千/月,佛山,广东海逸房地产集团有限公司,民营公司,500-1000人,房地产,08-15
厨师（帮厨）,3-4.5千/月,武汉-江夏区,华沛（武汉）食品有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),08-15
厨师助理,4.5-6千/月,上海-松江区,朝一蛋品（上海）有限公司,民营公司,少于50人,快速消费品(食品、饮料、化妆品),08-15
零活厨师,2-3千/月,铁岭,沈阳津柏祺服装有限公司,民营公司,少于50人,服装/纺织/皮革,08-15
厨师,6-8千/月,上海-静安区,上海义教餐饮管理有限公司,外资（非欧美）,50-150人,餐饮业,08-15
厨师,5.5-6.5千/月,广州-花都区,广州卓芬化妆品有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
厨师（单位食堂）,5-7千/月,武汉-江夏区,湖北华亿电气集团有限公司,民营公司,500-1000人,电气/电力/水利,08-15
厨师,5-8千/月,昆山,优德利木业(昆山)有限公司,外资（非欧美）,150-500人,家居/室内设计/装潢,08-15
中餐厨师,5-8千/月,成都-龙泉驿区,成都比特弗教育信息咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
大锅菜厨师,5-7千/月,南京-鼓楼区,南京师范大学附属中学,事业单位,150-500人,教育/培训/院校,08-15
日式厨师长,0.7-1万/月,揭阳,揭阳市鼎胜餐饮投资管理有限公司,民营公司,1000-5000人,餐饮业,08-15
厨师学徒,3-4.5千/月,东莞-虎门镇,东莞市东宫月子家政服务有限公司,民营公司,50-150人,生活服务,08-15
中餐厨师,6-8千/月,佛山-南海区,广东乐骏新材料有限公司,民营公司,500-1000人,原材料和加工,08-15
食堂厨师,3-3.5千/月,宜昌-西陵区,湖北宜昌精森机械有限公司,民营公司,,计算机软件,08-15
厨师,5-5.5千/月,东莞-虎门镇,东莞市奥利置业有限公司,民营公司,50-150人,房地产,08-15
厨师,4-6千/月,广安,广安摩珈生物科技有限公司,民营公司,50-150人,制药/生物工程,08-15
厨师,6-8千/月,嘉兴,吉祥新材料股份有限公司,民营公司,500-1000人,建筑/建材/工程,08-15
厂区食堂厨师,4.5-5.5千/月,嘉兴,嘉兴泰恩弹簧有限公司,合资,500-1000人,家具/家电/玩具/礼品,08-15
食堂厨师（海安）,5-6千/月,南通,佳马机械涂覆（海安）有限公司,合资,150-500人,汽车,08-15
食堂厨师,3-4.5千/月,宝鸡,陕西斯诺特生物技术有限公司,民营公司,150-500人,制药/生物工程,08-15
厨师,4.5-6千/月,大连-长兴岛,大连中沐化工有限公司,民营公司,150-500人,石油/化工/矿产/地质,08-15
餐饮厨师长,0.8-1万/月,义乌,义乌市韩京餐饮管理有限公司,合资,,餐饮业,08-15
川菜厨师,4.5-7千/月,佛山-南海区,佛山市南海区食乐乐餐饮店,合资,,餐饮业,08-15
厨师,4.5-6千/月,昆明-呈贡区,云南师范大学,事业单位,1000-5000人,餐饮业,08-15
厨师,5-6千/月,东莞-厚街镇,广东越境智能科技有限公司,民营公司,500-1000人,家具/家电/玩具/礼品,08-15
厨师,6-8千/月,武汉-蔡甸区,武汉贤恒华泰汽车零部件有限公司,民营公司,50-150人,汽车,08-15
厨师长,7-8千/月,东莞-东城区,东莞市兆恒机械有限公司,民营公司,500-1000人,机械/设备/重工,08-15
厨师（沌口）,2-3千/月,武汉-武汉经济开发区,武汉天虎物流有限责任公司,民营公司,50-150人,交通/运输/物流,08-15
食堂厨师,3-4.5千/月,宁波-慈溪市,慈溪市美宜家居用品厂,民营公司,150-500人,家具/家电/玩具/礼品,08-15
成华区塔子山幼儿园聘厨师,4-5千/月,成都-成华区,成都格瑞思企业管理有限责任公司,民营公司,500-1000人,教育/培训/院校,08-15
厨师,6-8.5千/月,温州,永固集团股份有限公司,民营公司,1000-5000人,机械/设备/重工,08-15
