职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
数据分析师,5-8千/月,杭州-滨江区,杭州跃远科技有限公司,外资（欧美）,少于50人,贸易/进出口,08-15
数据分析师,0.6-1万/月,长沙-芙蓉区,湖南惟可托信息咨询有限公司,民营公司,,计算机软件,08-15
数据分析师,6-8千/月,深圳,深圳市富盛资产管理有限公司,民营公司,,金融/投资/证券,08-15
大数据分析师,0.8-1万/月,大连,大连金慧融智科技股份有限公司,民营公司,,外包服务,08-15
电商数据分析师,1-1.5万/月,上海,上海来伊份食品连锁经营有限公司,民营公司,,批发/零售,08-15
40836-数据科学家/数据分析师/数据挖掘-供需分析方向,,北京,深圳市腾讯计算机系统有限公司,民营公司,10000人以上,互联网/电子商务,08-15
数据分析师,1.2-1.5万/月,广州-增城区,跨越速运集团有限公司,民营公司,10000人以上,交通/运输/物流,08-15
数据分析师,6-8千/月,昆明-五华区,云南明博会计师事务所（普通合伙）,民营公司,,会计/审计,08-15
高级数据分析师,2-2.5万/月,长沙-岳麓区,湖南兴盛优选电子商务有限公司,民营公司,10000人以上,互联网/电子商务,08-15
数据分析师,0.9-1.8万/月,上海-徐汇区,上海分值医学科技有限公司,民营公司,50-150人,计算机软件,08-15
数据分析师,0.6-1.5万/月,北京-海淀区,北京灵数科技有限公司,创业公司,50-150人,计算机软件,08-15
数据分析师,0.9-1.3万/月,上海-杨浦区,上海柏思臣进出口有限公司,民营公司,少于50人,贸易/进出口,08-15
数据分析师,3-4.5千/月,郑州-高新区,上海睿芽教育科技有限公司,民营公司,50-150人,互联网/电子商务,08-15
CRM数据分析师-华润三九,1-1.2万/月,北京,北京华润北贸医药经营有限公司,国企,500-1000人,制药/生物工程,08-15
数据分析师,,上海-浦东新区,“前程无忧”51job.com（上海）,外资（非欧美）,1000-5000人,互联网/电子商务,08-15
数据分析师（物流）,0.8-1.6万/月,上海-闵行区,晶科能源股份有限公司,上市公司,10000人以上,新能源,08-15
数据分析师,5-9千/月,南京-建邺区,通联数据股份公司,合资,5000-10000人,金融/投资/证券,08-15
数据分析师,0.8-1.2万/月,深圳-龙岗区,深圳市顺电连锁股份有限公司,上市公司,1000-5000人,批发/零售,08-15
高级数据分析师,1-1.8万/月,上海-静安区,上海宝尊电子商务有限公司,上市公司,5000-10000人,互联网/电子商务,08-15
运营数据分析师（电商）,1.2-2万/月,深圳-南山区,深圳市乐承服饰有限公司,民营公司,150-500人,服装/纺织/皮革,08-15
大型央企数据分析师,1-1.5万/月,北京-海淀区,深圳市劲草人才信息咨询服务有限公司,民营公司,10000人以上,专业服务(咨询、人力资源、财会),08-15
跨境电商数据分析师（亚马逊）,1-1.5万/月,深圳,深圳巿三利达电器科技有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,08-15
人力数据分析师,4-7千/月,佛山-禅城区,中国中药控股有限公司营销中心,国企,1000-5000人,制药/生物工程,08-15
数据分析师,1-2万/月,上海-长宁区,上海利源进出口有限公司,外资（欧美）,50-150人,贸易/进出口,08-15
大气环境数据分析师,5-7千/月,郑州-高新区,中科宇图科技股份有限公司河南分公司,民营公司,500-1000人,计算机软件,08-15
