职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
资深英语老师,1.5-2万/月,上海-嘉定区,易贝乐国际少儿英语（上海嘉定中心）,合资,150-500人,教育/培训/院校,08-15
少儿英语老师,4.5-6千/月,沈阳-浑南区,沈阳洛奇教育科技有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师（青少儿）,5-9千/月,佛山,深圳市现代教育科技文化有限公司佛山分公司,民营公司,500-1000人,教育/培训/院校,08-15
英语老师,0.8-1万/月,邯郸,天津学冠教育科技有限公司,上市公司,150-500人,教育/培训/院校,08-15
（急招）英语老师-爱贝虎门中心,4.5-8千/月,东莞-虎门镇,爱贝少儿英语东莞虎门中心,民营公司,少于50人,教育/培训/院校,08-15
爱英贝英语-助教/中教老师,5-9.9千/月,上海-杨浦区,爱贝国际少儿英语,合资,150-500人,教育/培训/院校,08-15
*** 英语老师,150元/小时,宁波-鄞州区,宁波东钱湖旅游度假区全知教育培训有限公司,创业公司,少于50人,教育/培训/院校,08-15
初高中英语老师（兼）,100元/小时,珠海-香洲区,珠海市逸仙学苑教育培训中心有限公司,民营公司,150-500人,教育/培训/院校,08-15
高中英语老师,0.8-1万/月,天津,天津博英加美教育信息咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师,6-8千/月,广州-白云区,佛山市托可文化艺术传播有限公司,民营公司,50-150人,影视/媒体/艺术/文化传播,08-15
002全职幼少英语老师,6-8千/月,杭州,杭州市西湖区安迪文化艺术工作室,民营公司,,互联网/电子商务,08-15
001英语教师,0.8-1万/月,杭州,浙江新课堂教育股份有限公司,民营公司,,互联网/电子商务,08-15
英语教师,1-1.5万/月,哈尔滨,哈尔滨市志远英语学校,非营利组织,,教育/培训/院校,08-15
英语老师（江门）,0.8-1万/月,江门,东莞市一步教育发展有限公司,民营公司,,教育/培训/院校,08-15
英语教师（事业）（市级目录）,6-8千/月,安徽省,临泉县#临泉县第一中学,事业单位,,教育/培训/院校,08-15
英语教师（事业）（市级目录）,6-8千/月,安徽省,临泉县#临泉田家炳实验中学,事业单位,,教育/培训/院校,08-15
数学英语老师,3-4.5千/月,合肥,安徽忆学教育科技有限公司,民营公司,,教育/培训/院校,08-15
001 少儿英语老师（社招）,1-1.5万/月,金华,宁波鄞州英之成教育培训学校有限公司,民营公司,,教育/培训/院校,08-15
小学英语老师 幸福指数行业领先 全白日班（南通）,6-8千/月,南通,南通市崇川区百分百培训学校,民营公司,,机械/设备/重工,08-15
003英语老师,6-8千/月,大连,大连世谦教育咨询有限公司,民营公司,,教育/培训/院校,08-15
资深少儿英语老师,0.8-1.5万/月,上海,上海鹄译教育培训有限公司,民营公司,,教育/培训/院校,08-15
英语老师,0.6-1.2万/月,九江,企鹅家族英语,民营公司,50-150人,教育/培训/院校,08-15
英语老师,1-1.8万/月,上海-宝山区,上海璟衡教育科技有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,4-8千/月,绵阳,吉的堡少儿英语,民营公司,50-150人,教育/培训/院校,08-15
英语教师+包住+五险一金+年薪10万左右,0.5-1万/月,宁波-慈溪市,慈溪市东志培训学校有限公司,民营公司,50-150人,教育/培训/院校,08-15
资深少儿英语老师（上海松江新城）,0.8-1万/月,上海-松江区,易贝乐少儿英语(上海松江新城中心),民营公司,500-1000人,教育/培训/院校,08-15
高中英语老师,0.6-1万/月,新乡,郑州市中原区一本艺术培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
