职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
软件开发工程师,6-8千/月,鄂州,武汉赣鄂创新科技发展有限公司,民营公司,少于50人,计算机软件,08-15
医疗器械嵌入式软件工程师,1.5-2万/月,深圳-南山区,深圳市脉度科技有限公司,民营公司,少于50人,医疗设备/器械,08-15
软件开发工程师,5-9千/月,苏州-工业园区,神箭数码科技（苏州）有限公司,外资（非欧美）,少于50人,计算机软件,08-15
嵌入式软件工程师,1.8-2.6万/月,上海-普陀区,上海汉想新能源科技有限公司,民营公司,少于50人,新能源,08-15
ASP.NET 软件工程师,0.5-1万/月,广州-越秀区,广州仓实信息科技有限公司,民营公司,少于50人,计算机软件,08-15
嵌入式软件工程师,1-1.5万/月,天津-西青区,天津光电比特信息技术有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
软件开发工程师,0.8-2万/月,无锡-滨湖区,深圳市智佐生物科技有限公司无锡分公司,民营公司,50-150人,制药/生物工程,08-15
软件开发工程师,0.8-1.4万/月,天津-西青区,天津市栋天信息技术有限公司,民营公司,少于50人,计算机软件,08-15
软件工程师,0.9-1.2万/月,广州-黄埔区,广州印芯半导体技术有限公司,外资（非欧美）,少于50人,电子技术/半导体/集成电路,08-15
软件工程师(入职五险+周末双休),1-1.5万/月,合肥-包河区,安徽国芯智能装备有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-15
软件工程师--上海/深圳,1-1.5万/月,上海-徐汇区,安立通讯科技（上海）有限公司,外资（非欧美）,150-500人,通信/电信运营、增值服务,08-15
嵌入式软件工程师（智能穿戴）,1.5-2万/月,深圳,深圳市奋达科技股份有限公司,上市公司,5000-10000人,电子技术/半导体/集成电路,08-15
软件工程师,1-1.5万/月,广州,广州鹏林照明灯具有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
JAVA高级软件工程师/高级JAVA软件工程师,1-1.5万/月,上海-徐汇区,上海千波信息科技有限公司,民营公司,少于50人,计算机软件,08-15
JAVA软件开发工程师（金融）,5-8千/月,天津-和平区,天津卓信软件开发有限公司,合资,50-150人,计算机软件,08-15
嵌入式软件工程师,0.6-1.4万/月,常州,常州市优策电子科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
